dataset,target,n,raw_mae,median_offset,offset_adjusted_mae,raw_mean_signed_error
A4_A5_train_1m,metric/the_pile_arxiv_val_loss,512,0.5559231564222538,-0.06980124383603514,0.5530812296815042,6.765421556309548e-17
A6_A7_test_1m,metric/the_pile_arxiv_val_loss,256,0.49037375248468007,-0.1786484238517474,0.4709594223822656,0.1702024766384675
A8_A9_test_60m,metric/the_pile_arxiv_val_loss,256,1.7649695222425343,-1.7827289557237898,0.38188439023238285,1.7638019125117972
A4_A5_train_1m,metric/the_pile_freelaw_val_loss,512,0.4134795279802241,0.0681107951560267,0.4109027406931454,-2.42861286636753e-17
A6_A7_test_1m,metric/the_pile_freelaw_val_loss,256,0.4170975514057891,-0.0659141217738175,0.41553912203108034,0.036708657859127594
A8_A9_test_60m,metric/the_pile_freelaw_val_loss,256,1.3797552541329074,-1.387735853637532,0.3606392796507444,1.3797552541329074
A4_A5_train_1m,metric/the_pile_pubmed_central_val_loss,512,0.4819850047523732,-0.05040063828567343,0.4805495737671427,-3.3306690738754696e-16
A6_A7_test_1m,metric/the_pile_pubmed_central_val_loss,256,0.458387632965546,-0.10403753600917387,0.4531673305266604,0.04652070939503622
A8_A9_test_60m,metric/the_pile_pubmed_central_val_loss,256,1.7103514153134078,-1.7694771142719037,0.3195763876729237,1.7103514153134078
A4_A5_train_1m,metric/the_pile_wikipedia_en_val_loss,512,0.2379269070822313,-0.009115444493753788,0.23781975095929636,3.139849491518021e-16
A6_A7_test_1m,metric/the_pile_wikipedia_en_val_loss,256,0.24656577886499018,0.03445397759513602,0.24504313353548277,-0.010058365714084104
A8_A9_test_60m,metric/the_pile_wikipedia_en_val_loss,256,1.3422525525574576,-1.3328551893875051,0.23160489632881553,1.3422525525574576
A4_A5_train_1m,metric/the_pile_dm_mathematics_val_loss,512,1.0704345330730267,0.3274942581666639,1.0638384374654482,3.183217578417441e-16
A6_A7_test_1m,metric/the_pile_dm_mathematics_val_loss,256,1.050606760234152,0.11350950289383355,1.0488614638420808,0.04186091995970665
A8_A9_test_60m,metric/the_pile_dm_mathematics_val_loss,256,1.4208790018316626,-1.3918279914447853,0.6161046173308314,1.3428970124124116
A4_A5_train_1m,metric/the_pile_github_val_loss,512,0.5594902531134358,-0.12465588025397878,0.5517040413143006,7.632783294297951e-17
A6_A7_test_1m,metric/the_pile_github_val_loss,256,0.5069391325607415,-0.18695146195653978,0.47523118308084533,0.14294927353414438
A8_A9_test_60m,metric/the_pile_github_val_loss,256,2.5825539591759696,-2.6486319147984205,0.42211860052400246,2.5825539591759696
A4_A5_train_1m,metric/the_pile_stackexchange_val_loss,512,0.4121913597948961,-0.09311318802031199,0.4043139984294495,2.3245294578089215e-16
A6_A7_test_1m,metric/the_pile_stackexchange_val_loss,256,0.3716728127124259,-0.1435020442665702,0.35151047471799113,0.09733705216195306
A8_A9_test_60m,metric/the_pile_stackexchange_val_loss,256,1.7204941873728845,-1.7608575997288054,0.31784100250351,1.7204941873728845
A4_A5_train_1m,metric/the_pile_gutenberg_pg_19_val_loss,512,0.18707447240760663,-0.025075773864091655,0.18587671259562966,-7.28583859910259e-17
A6_A7_test_1m,metric/the_pile_gutenberg_pg_19_val_loss,256,0.20077180354259,-0.04554434797381868,0.1992189202111432,0.02009612656637718
A8_A9_test_60m,metric/the_pile_gutenberg_pg_19_val_loss,256,0.988955949987021,-0.9860222266176097,0.16578579717017258,0.988955949987021
A4_A5_train_1m,metric/the_pile_pile_cc_val_loss,512,0.12538614625904612,-0.02355121293482121,0.12455467049640429,-2.7929047963226594e-16
A6_A7_test_1m,metric/the_pile_pile_cc_val_loss,256,0.12410275819814386,-0.005069324203682335,0.12397732282023806,0.0025285326087606252
A8_A9_test_60m,metric/the_pile_pile_cc_val_loss,256,1.0674313988679778,-1.0733899740642032,0.12683416234458544,1.0674313988679778
A4_A5_train_1m,metric/the_pile_ubuntu_irc_val_loss,512,0.5871685050907358,0.1717669081760671,0.5768940303919781,3.2699537522162814e-16
A6_A7_test_1m,metric/the_pile_ubuntu_irc_val_loss,256,0.5659352749728396,0.194431694904182,0.5468121490723049,0.039105806672402474
A8_A9_test_60m,metric/the_pile_ubuntu_irc_val_loss,256,1.9655572056634507,-1.9555022647119573,0.42059393829030894,1.9655572056634507
A4_A5_train_1m,metric/the_pile_hackernews_val_loss,512,0.15769131516830745,-0.002272857886870039,0.1576744797036262,-3.86843335142828e-16
A6_A7_test_1m,metric/the_pile_hackernews_val_loss,256,0.15536324094278456,-0.020473578949391946,0.1546112385111274,0.0168497258444645
A8_A9_test_60m,metric/the_pile_hackernews_val_loss,256,0.9931937394311048,-1.010383951966134,0.1432667690365932,0.9931937394311048
A4_A5_train_1m,metric/the_pile_pubmed_abstracts_val_loss,512,0.22670189090801723,-0.029142845290243802,0.22597287106028255,1.214306433183765e-16
A6_A7_test_1m,metric/the_pile_pubmed_abstracts_val_loss,256,0.20309362376354134,-0.019976846771146306,0.2021640885429976,0.007315972439585823
A8_A9_test_60m,metric/the_pile_pubmed_abstracts_val_loss,256,1.3495793580930817,-1.3536942269977725,0.20321879990316954,1.3495793580930817
A4_A5_train_1m,metric/the_pile_uspto_backgrounds_val_loss,512,0.22570544772844892,0.05545340935838183,0.22158907463490135,1.3964523981613297e-16
A6_A7_test_1m,metric/the_pile_uspto_backgrounds_val_loss,256,0.2243587124995849,0.04440806407237563,0.221836560257196,0.021887709217754354
A8_A9_test_60m,metric/the_pile_uspto_backgrounds_val_loss,256,1.3983009046117338,-1.3812808392466749,0.20245746957661626,1.3983009046117338
