block,alpha,logo_mean_r2,fold_r2
shared_ilr_plus_scale,10.0,-6.229245010212666,"[-4.723210465251558, -7.735279555173774]"
scale_plus_top1_interactions,10.0,-6.253116532837341,"[-4.7297841285941935, -7.776448937080487]"
scale_plus_top3_interactions,10.0,-6.280946441011897,"[-4.732513033713309, -7.829379848310486]"
scale_plus_top5_interactions,10.0,-6.2982684847130965,"[-4.74331300347336, -7.853223965952834]"
full_interaction,0.1,-6.17970237292241,"[-4.678919552549065, -7.680485193295755]"
