recipe,role,n_rows,mean_unmapped_mass,mean_q_partial_raw,mean_q_low,mean_q_mid,mean_q_high,mean_interval_width
A4_A5_train_1m,fit,512,0.4352910156250001,33.945845684709106,56.45100387873591,60.66743541618088,61.95060221135126,5.499598332615349
A6_A7_validation_1m,validation,256,0.43096093749999986,34.00529980310788,56.28658686334689,60.461075247107296,61.731477679423676,5.444890816076786
A8_A9_validation_60m,validation,256,0.43096093749999986,34.00529980310788,56.28658686334689,60.461075247107296,61.731477679423676,5.444890816076786
A10_A11_validation_1b,validation,64,0.3772812500000002,38.11868828701073,57.62465994759957,61.27918187404586,62.39134535792864,4.766685410329075
A12_A13_extrapolation_10b,extrapolation,63,0.4563968253968254,32.877301822810786,56.47366008915238,60.894532331208346,62.23991560526814,5.766255516115756
A14_A15_extrapolation_70b,extrapolation,63,0.4563968253968254,32.877301822810786,56.47366008915238,60.894532331208346,62.23991560526814,5.766255516115756
