task,branch,axis,fold,model,actual_model,intercept,slope,n_calibration,n_calibration_groups,n_test
A60M,connection,Q_A_topsis_0_1,2,offset,offset,3.8428177606349383,1.0,205,205,51
A60M,connection,Q_A_topsis_0_1,2,affine,affine,3.838416524062873,0.651538979761911,205,205,51
A60M,connection,Q_A_topsis_0_1,2,mean,mean,3.830187261622287,0.0,205,205,51
A60M,connection,Q_A_topsis_0_1,2,selected,affine,3.838416524062873,0.651538979761911,205,205,51
A60M,connection,Q_A_topsis_0_1,3,raw,raw,5.344656776171178,1.0,205,205,51
A60M,connection,Q_A_topsis_0_1,3,offset,offset,3.834553485873213,1.0,205,205,51
A60M,connection,Q_A_topsis_0_1,3,affine,affine,3.8260544102488367,0.584270418402234,205,205,51
A60M,connection,Q_A_topsis_0_1,3,mean,mean,3.8141097262742165,0.0,205,205,51
A60M,connection,Q_A_topsis_0_1,3,selected,affine,3.8260544102488367,0.584270418402234,205,205,51
A60M,connection,Q_A_topsis_0_1,4,raw,raw,5.344656776171178,1.0,205,205,51
A60M,connection,Q_A_topsis_0_1,4,offset,offset,3.8308352838511603,1.0,205,205,51
A60M,connection,Q_A_topsis_0_1,4,affine,affine,3.8274685611747223,0.7345010005367228,205,205,51
A60M,connection,Q_A_topsis_0_1,4,mean,mean,3.818154548016962,0.0,205,205,51
A60M,connection,Q_A_topsis_0_1,4,selected,affine,3.8274685611747223,0.7345010005367228,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,0,raw,raw,5.344656776171178,1.0,204,204,52
A60M,connection,quality_score_soft_proxy_0_1,0,offset,offset,3.836473101558789,1.0,204,204,52
A60M,connection,quality_score_soft_proxy_0_1,0,affine,affine,3.8329464869889835,0.7189857661110727,204,204,52
A60M,connection,quality_score_soft_proxy_0_1,0,mean,mean,3.8239235074652744,0.0,204,204,52
A60M,connection,quality_score_soft_proxy_0_1,0,selected,offset,3.836473101558789,1.0,204,204,52
A60M,connection,quality_score_soft_proxy_0_1,1,raw,raw,5.344656776171178,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,1,offset,offset,3.846031589663368,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,1,affine,affine,3.841275799509326,0.6516658379539773,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,1,mean,mean,3.8323786360566707,0.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,1,selected,offset,3.846031589663368,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,2,raw,raw,5.344656776171178,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,2,offset,offset,3.8467504495125047,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,2,affine,affine,3.843815469310178,0.7283530003681262,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,2,mean,mean,3.835946059232827,0.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,2,selected,offset,3.8467504495125047,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,3,raw,raw,5.344656776171178,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,3,offset,offset,3.8428593466998056,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,3,affine,affine,3.836842249784339,0.6655734318644182,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,3,mean,mean,3.8248670653179406,0.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,3,selected,offset,3.8428593466998056,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,4,raw,raw,5.344656776171178,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,4,offset,offset,3.831852128677867,1.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,4,affine,affine,3.829573149906358,0.8081078626166539,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,4,mean,mean,3.8199757756256485,0.0,205,205,51
A60M,connection,quality_score_soft_proxy_0_1,4,selected,offset,3.831852128677867,1.0,205,205,51
A1B,full_mixture,none,0,raw,raw,5.344656776171178,1.0,51,51,13
A1B,full_mixture,none,0,offset,offset,2.1636693258117456,1.0,51,51,13
A1B,full_mixture,none,0,affine,affine,2.225625771863223,0.031771319459846056,51,51,13
A1B,full_mixture,none,0,mean,mean,2.2276588019517347,0.0,51,51,13
A1B,full_mixture,none,0,selected,mean,2.2276588019517347,0.0,51,51,13
A1B,full_mixture,none,1,raw,raw,5.344656776171178,1.0,51,51,13
A1B,full_mixture,none,1,offset,offset,2.1695099450354185,1.0,51,51,13
A1B,full_mixture,none,1,affine,affine,2.222311820957849,0.030808435375214962,51,51,13
A1B,full_mixture,none,1,mean,mean,2.2239902746727,0.0,51,51,13
A1B,full_mixture,none,1,selected,mean,2.2239902746727,0.0,51,51,13
A1B,full_mixture,none,2,raw,raw,5.344656776171178,1.0,51,51,13
A1B,full_mixture,none,2,offset,offset,2.17100349273554,1.0,51,51,13
A1B,full_mixture,none,2,affine,affine,2.223049345907832,0.038686807581823315,51,51,13
A1B,full_mixture,none,2,mean,mean,2.225143864034691,0.0,51,51,13
A1B,full_mixture,none,2,selected,mean,2.225143864034691,0.0,51,51,13
A1B,full_mixture,none,3,raw,raw,5.344656776171178,1.0,51,51,13
A1B,full_mixture,none,3,offset,offset,2.1428911021015917,1.0,51,51,13
A1B,full_mixture,none,3,affine,affine,2.223421015655177,0.03868813853062817,51,51,13
A1B,full_mixture,none,3,mean,mean,2.2266619539773758,0.0,51,51,13
A1B,full_mixture,none,3,selected,mean,2.2266619539773758,0.0,51,51,13
A1B,full_mixture,none,4,raw,raw,5.344656776171178,1.0,52,52,12
A1B,full_mixture,none,4,offset,offset,2.12549731314401,1.0,52,52,12
A1B,full_mixture,none,4,affine,affine,2.2066807314114802,0.17931699943069251,52,52,12
A1B,full_mixture,none,4,mean,mean,2.2244190870946747,0.0,52,52,12
A1B,full_mixture,none,4,selected,affine,2.2066807314114802,0.17931699943069251,52,52,12
A1B,connection,Q_A_topsis_0_1,0,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,0,offset,offset,2.1746840583443374,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,0,affine,affine,2.2476017674171773,0.026729737656112553,51,51,13
A1B,connection,Q_A_topsis_0_1,0,mean,mean,2.249604367629484,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,0,selected,mean,2.249604367629484,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,1,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,1,offset,offset,2.1797524949066247,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,1,affine,affine,2.2421519792655475,0.03473404420958346,51,51,13
A1B,connection,Q_A_topsis_0_1,1,mean,mean,2.244397356754908,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,1,selected,mean,2.244397356754908,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,2,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,2,offset,offset,2.1788984139030703,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,2,affine,affine,2.239449155010101,0.022983655041857228,51,51,13
A1B,connection,Q_A_topsis_0_1,2,mean,mean,2.240873570633559,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,2,selected,mean,2.240873570633559,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,3,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,3,offset,offset,2.152969802998322,1.0,51,51,13
A1B,connection,Q_A_topsis_0_1,3,affine,affine,2.2423848432771947,0.04647129718348772,51,51,13
A1B,connection,Q_A_topsis_0_1,3,mean,mean,2.246742586150796,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,3,selected,mean,2.246742586150796,0.0,51,51,13
A1B,connection,Q_A_topsis_0_1,4,raw,raw,5.344656776171178,1.0,52,52,12
A1B,connection,Q_A_topsis_0_1,4,offset,offset,2.1342376048820624,1.0,52,52,12
A1B,connection,Q_A_topsis_0_1,4,affine,affine,2.2185468388705334,0.21642409547713998,52,52,12
A1B,connection,Q_A_topsis_0_1,4,mean,mean,2.241833095633924,0.0,52,52,12
A1B,connection,Q_A_topsis_0_1,4,selected,affine,2.2185468388705334,0.21642409547713998,52,52,12
A1B,connection,quality_score_soft_proxy_0_1,0,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,0,offset,offset,2.1495727877525277,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,0,affine,affine,2.212333887742222,0.004386033703568651,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,0,mean,mean,2.212610372714457,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,0,selected,mean,2.212610372714457,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,1,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,1,offset,offset,2.155750585088586,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,1,affine,affine,2.2092233357294133,0.0014650707572339894,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,1,mean,mean,2.2093017920367277,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,1,selected,mean,2.2093017920367277,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,2,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,2,offset,offset,2.1613574663131385,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,2,affine,affine,2.2127087875108873,0.03996497388470826,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,2,mean,mean,2.214846474318959,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,2,selected,mean,2.214846474318959,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,3,raw,raw,5.344656776171178,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,3,offset,offset,2.1296310009099284,1.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,3,affine,affine,2.2117957205834955,0.008575794404807845,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,3,mean,mean,2.2125064433389743,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,3,selected,mean,2.2125064433389743,0.0,51,51,13
A1B,connection,quality_score_soft_proxy_0_1,4,raw,raw,5.344656776171178,1.0,52,52,12
A1B,connection,quality_score_soft_proxy_0_1,4,offset,offset,2.11001293406701,1.0,52,52,12
A1B,connection,quality_score_soft_proxy_0_1,4,affine,affine,2.1889051125356436,0.19395925268895006,52,52,12
A1B,connection,quality_score_soft_proxy_0_1,4,mean,mean,2.2078891006650605,0.0,52,52,12
A1B,connection,quality_score_soft_proxy_0_1,4,selected,affine,2.1889051125356436,0.19395925268895006,52,52,12
